mileage	price	construction_year	power	car_state	car_owner	transmission	fuel	fuel_consumption_per_100_km
1	55450	0	249	new	0	Automatik	Benzin	7,9
1900	59800	0	250	new	0	Automatik	Benzin	7,9
40	59900	0	200	new	0	Automatik	Benzin	7,8
7500	51990	0	250	new	0	Automatik	Benzin	7,9
39999	37900	0	241	new	0	Automatik	Benzin	7,3
18750	39480	0	239	new	0	Automatik	Benzin	8,2
42800	39890	0	241	new	0	Automatik	Benzin	7,3
15510	42889	0	241	new	0	Automatik	Benzin	7,8
3535	46850	0	241	new	0	Automatik	Benzin	-/-
100	47500	0	200	new	0	Automatik	Benzin	7,6
2500	48450	0	200	new	0	Automatik	Benzin	9,3
15	49600	0	200	new	0	Automatik	Benzin	7,8
0	49990	0	249	new	0	Automatik	Benzin	7,9
15	50400	0	200	new	0	Automatik	Benzin	7,8
9000	50444	0	200	new	0	Automatik	Benzin	7,7
3215	50990	0	200	new	0	Automatik	Benzin	7,7
11	51290	0	200	new	0	Automatik	Benzin	7,7
0	51490	0	249	new	0	Automatik	Benzin	7,9
4500	51880	0	200	new	0	Automatik	Benzin	7,7
15	52450	0	249	new	0	Automatik	Benzin	7,9
12500	52900	0	249	new	0	Automatik	Benzin	7,9
10	53900	0	200	new	0	Automatik	Benzin	7,7
0	53950	0	200	new	0	Automatik	Benzin	7,7
0	53990	0	200	new	0	Automatik	Benzin	7,7
0	53990	0	200	new	0	Automatik	Benzin	7,7
2500	54440	0	200	new	0	Automatik	Benzin	7,7
10	54830	0	200	new	0	Automatik	Benzin	9,4
3500	54880	0	200	new	0	Automatik	Benzin	7,7
3500	54880	0	200	new	0	Automatik	Benzin	7,7
10	54900	0	200	new	0	Automatik	Benzin	7,7
8475	54900	0	241	new	0	Automatik	Benzin	8,2
4500	54980	0	249	new	0	Automatik	Benzin	7,6
3000	54980	0	200	new	0	Automatik	Benzin	7,7
1550	54985	0	200	new	0	Automatik	Benzin	7,7
10500	54990	0	249	new	0	Automatik	Benzin	7,9
6	54990	0	249	new	0	Automatik	Benzin	7,9
1	55450	0	249	new	0	Automatik	Benzin	7,9
0	55490	0	200	new	0	Automatik	Benzin	9,3
5000	55490	0	249	new	0	Automatik	Benzin	7,9
5000	55555	0	249	new	0	Automatik	Benzin	7,9
610	55890	0	249	new	0	Automatik	Benzin	7,9
15	55900	0	200	new	0	Automatik	Benzin	7,7
3000	56000	0	249	new	0	Automatik	Benzin	7,9
5000	56690	0	200	new	0	Automatik	Benzin	9,5
0	56890	0	200	new	0	Automatik	Benzin	7,7
0	56890	0	200	new	0	Automatik	Benzin	7,7
27	56989	0	249	new	0	Automatik	Benzin	7,9
10	57650	0	200	new	0	Automatik	Benzin	7,7
3000	57690	0	249	new	0	Automatik	Benzin	7,6
0	57780	0	200	new	0	Automatik	Benzin	9,5
0	57890	0	249	new	0	Automatik	Benzin	7,9
3500	57950	0	249	new	0	Automatik	Benzin	7,9
26	57980	0	249	new	0	Automatik	Benzin	7,9
13	58890	0	249	new	0	Automatik	Benzin	7,9
1500	58950	0	249	new	0	Automatik	Benzin	7,7
10	59263	0	249	new	0	Automatik	Benzin	7,9
8000	59650	0	249	new	0	Automatik	Benzin	7,9
3900	59700	0	249	new	0	Automatik	Benzin	7,9
0	59790	0	249	new	0	Automatik	Benzin	9,4
18	59875	0	200	new	0	Automatik	Benzin	7,7
15	59890	0	249	new	0	Automatik	Benzin	7,9
1500	59900	0	250	new	0	Automatik	Benzin	7,9
15	59980	0	249	new	0	Automatik	Benzin	7,9
15	59980	0	249	new	0	Automatik	Benzin	7,9
0	59990	0	200	new	0	Automatik	Benzin	7,7
12	59990	0	249	new	0	Automatik	Benzin	7,9
0	59990	0	249	new	0	Automatik	Benzin	7,9
2484	59990	0	249	new	0	Automatik	Benzin	7,9
2500	59990	0	249	new	0	Automatik	Benzin	7,9
2500	59990	0	249	new	0	Automatik	Benzin	7,9
0	59990	0	200	new	0	Automatik	Benzin	7,7
0	59999	0	250	new	0	Automatik	Benzin	7,9
1500	59999	0	200	new	0	Automatik	Benzin	7,7
1	60490	0	249	new	0	Automatik	Benzin	7,9
0	60590	0	249	new	0	Automatik	Benzin	9,4
16	60890	0	249	new	0	Automatik	Benzin	7,9
15	60913	0	249	new	0	Automatik	Benzin	7,9
8000	60990	0	249	new	0	Automatik	Benzin	7,9
100	61150	0	249	new	0	Automatik	Benzin	7,9
1	61450	0	200	new	0	Automatik	Benzin	7,7
18	61450	0	249	new	0	Automatik	Benzin	7,9
1	61490	0	249	new	0	Automatik	Benzin	7,9
9990	61690	0	250	new	0	Automatik	Benzin	7,9
1	61860	0	249	new	0	Automatik	Benzin	7,9
0	61950	0	249	new	0	Automatik	Benzin	7,9
15	61990	0	249	new	0	Automatik	Benzin	7,9
1	61990	0	222	new	0	Automatik	Benzin	7,9
0	62890	0	249	new	0	Automatik	Benzin	7,9
1	62980	0	249	new	0	Automatik	Benzin	7,9
10	63257	0	249	new	0	Automatik	Benzin	7,9
0	63490	0	249	new	0	Automatik	Benzin	7,9
1500	63890	0	249	new	0	Automatik	Benzin	7,7
500	63900	0	249	new	0	Automatik	Benzin	7,9
0	64190	0	300	new	0	Automatik	Benzin	9,4
10	64416	0	249	new	0	Automatik	Benzin	7,9
0	64416	0	249	new	0	Automatik	Benzin	7,9
15	64800	0	249	new	0	Automatik	Benzin	7,9
2900	64900	0	249	new	0	Automatik	Benzin	7,9
100	65500	0	200	new	0	Automatik	Benzin	7,7
50	65566	0	249	new	0	Automatik	Benzin	9,4
